equipo,temporada,day,local_code,oponente,resultado_code,score,goals_for,goals_against,mes,mes_num,team_academic_rank,home_advantage,opponent_quality,local_visitante
Santa Ana,2022-2023,14,at,Santiago Canyon,W,6-1,6,1,October,10,71,0,0.5,Visitante
Santa Ana,2022-2023,18,at,Fullerton,L,3-0,3,0,October,10,71,0,0.5,Visitante
Santa Ana,2022-2023,21,vs,Irvine Valley,T,0-0,0,0,October,10,71,1,0.5,Local
Santa Ana,2022-2023,25,at,Golden West,L,2-0,2,0,October,10,71,0,0.5,Visitante
Santa Ana,2022-2023,1,at,Orange Coast,W,4-1,4,1,November,11,71,0,0.5,Visitante
Santa Ana,2022-2023,4,at,Cypress,W,2-1,2,1,November,11,71,0,0.5,Visitante
Santa Ana,2022-2023,8,vs,Santiago Canyon,W,4-2,4,2,November,11,71,1,0.5,Local
Santa Ana,2022-2023,10,vs,Fullerton,L,2-0,2,0,November,11,71,1,0.5,Local
Santa Ana,2022-2023,16,vs,Santa Barbara,T,1-1,1,1,November,11,71,1,0.5,Local
Santa Ana,2022-2023,19,at,Mt. San Antonio,L,3-2,3,2,November,11,71,0,0.5,Visitante
Santa Ana,2021-2022,27,at,East Los Angeles,T,1-1,1,1,August,8,71,0,0.5,Visitante
Santa Ana,2021-2022,3,vs,Lake Tahoe,L,3-1,3,1,September,9,71,1,0.5,Local
Santa Ana,2021-2022,5,vs,West Valley,W,2-0,2,0,September,9,71,1,0.5,Local
Santa Ana,2021-2022,7,vs,LA Mission,W,2-1,2,1,September,9,71,1,0.5,Local
Santa Ana,2021-2022,10,vs,Palomar,W,2-0,2,0,September,9,71,1,0.5,Local
Santa Ana,2021-2022,14,at,LA Harbor,L,4-1,4,1,September,9,71,0,0.5,Visitante
Santa Ana,2021-2022,17,at,San Bernardino Valley,T,1-1,1,1,September,9,71,0,0.5,Visitante
Santa Ana,2021-2022,24,vs,Desert,L,2-1,2,1,September,9,71,1,0.5,Local
Santa Ana,2021-2022,1,at,Fullerton,W,4-2,4,2,October,10,71,0,0.5,Visitante
Santa Ana,2021-2022,8,at,Golden West,T,1-1,1,1,October,10,71,0,0.5,Visitante
Santa Ana,2021-2022,12,vs,Cypress,W,1-0,1,0,October,10,71,1,0.5,Local
Santa Ana,2021-2022,15,at,Irvine Valley,W,3-1,3,1,October,10,71,0,0.5,Visitante
Santa Ana,2021-2022,19,at,Orange Coast,W,5-0,5,0,October,10,71,0,0.5,Visitante
Santa Ana,2021-2022,24,vs,Santiago Canyon,W,3-0,3,0,October,10,71,1,0.5,Local
Santa Ana,2021-2022,26,vs,Fullerton,T,3-3,3,3,October,10,71,1,0.5,Local
Santa Ana,2021-2022,29,at,Santiago Canyon,L,2-1,2,1,October,10,71,0,0.5,Visitante
Santa Ana,2021-2022,2,vs,Golden West,T,2-2,2,2,November,11,71,1,0.5,Local
Santa Ana,2021-2022,5,at,Cypress,T,2-2,2,2,November,11,71,0,0.5,Visitante
Santa Ana,2021-2022,9,vs,Irvine Valley,L,1-0,1,0,November,11,71,1,0.5,Local
Santa Ana,2021-2022,12,vs,Orange Coast,W,3-1,3,1,November,11,71,1,0.5,Local
Santa Ana,2021-2022,20,vs,Irvine Valley,W,3-1,3,1,November,11,71,1,0.5,Local
Santa Ana,2021-2022,23,at,Mt. San Antonio,L,5-2,5,2,November,11,71,0,0.5,Visitante
Cypress,2025-2026,29,at,Citrus,W,6-2,6,2,August,8,77,0,0.5,Visitante
Cypress,2025-2026,2,at,Compton,W,4-1,4,1,September,9,77,0,0.5,Visitante
Cypress,2025-2026,5,vs,Long Beach,L,2-1,2,1,September,9,77,1,0.5,Local
Cypress,2025-2026,9,at,El Camino,T,1-1,1,1,September,9,77,0,0.5,Visitante
Cypress,2025-2026,12,at,East Los Angeles,W,3-2,3,2,September,9,77,0,0.5,Visitante
Cypress,2025-2026,19,vs,Moorpark,W,3-2,3,2,September,9,77,1,0.5,Local
Cypress,2025-2026,26,at,Taft,T,2-2,2,2,September,9,77,0,0.5,Visitante
Cypress,2025-2026,30,at,Santiago Canyon,W,4-1,4,1,September,9,77,0,0.5,Visitante
Cypress,2025-2026,3,vs,Fullerton,T,1-1,1,1,October,10,77,1,0.5,Local
Cypress,2025-2026,7,at,Saddleback,W,2-1,2,1,October,10,77,0,0.5,Visitante
Cypress,2025-2026,10,vs,Irvine Valley,L,2-0,2,0,October,10,77,1,0.5,Local
Cypress,2025-2026,17,vs,Orange Coast,W,2-0,2,0,October,10,77,1,0.5,Local
Cypress,2025-2026,20,at,Golden West,T,1-1,1,1,October,10,77,0,0.5,Visitante
Cypress,2025-2026,21,at,Santa Ana,T,0-0,0,0,October,10,77,0,0.5,Visitante
Cypress,2025-2026,24,vs,Santiago Canyon,W,5-0,5,0,October,10,77,1,0.5,Local
Cypress,2025-2026,28,at,Fullerton,L,1-0,1,0,October,10,77,0,0.5,Visitante
Cypress,2025-2026,31,vs,Saddleback,W,1-0,1,0,October,10,77,1,0.5,Local
Cypress,2025-2026,4,at,Irvine Valley,W,2-1,2,1,November,11,77,0,0.5,Visitante
Cypress,2025-2026,7,vs,Golden West,W,1-0,1,0,November,11,77,1,0.5,Local
Cypress,2025-2026,12,at,Orange Coast,W,2-1,2,1,November,11,77,0,0.5,Visitante
Cypress,2025-2026,14,vs,Santa Ana,W,3-0,3,0,November,11,77,1,0.5,Local
Cypress,2025-2026,19,vs,Palomar,W,1-0,1,0,November,11,77,1,0.5,Local
Cypress,2025-2026,22,at,Oxnard,L,3-2,3,2,November,11,77,0,0.5,Visitante
Cypress,2024-2025,27,vs,Taft,T,1-1,1,1,August,8,77,1,0.5,Local
Cypress,2024-2025,30,vs,Citrus,W,1-0,1,0,August,8,77,1,0.5,Local
Cypress,2024-2025,3,vs,Compton,W,2-0,2,0,September,9,77,1,0.5,Local
Cypress,2024-2025,6,vs,Long Beach,L,3-1,3,1,September,9,77,1,0.5,Local
Cypress,2024-2025,10,vs,El Camino,L,5-1,5,1,September,9,77,1,0.5,Local
Cypress,2024-2025,13,at,East Los Angeles,W,3-1,3,1,September,9,77,0,0.5,Visitante
Cypress,2024-2025,20,at,Moorpark,L,5-1,5,1,September,9,77,0,0.5,Visitante
Cypress,2024-2025,1,vs,Fullerton,T,1-1,1,1,October,10,77,1,0.5,Local
Cypress,2024-2025,4,at,Saddleback,T,1-1,1,1,October,10,77,0,0.5,Visitante
Cypress,2024-2025,8,at,Irvine Valley,W,2-1,2,1,October,10,77,0,0.5,Visitante
Cypress,2024-2025,11,vs,Orange Coast,T,2-2,2,2,October,10,77,1,0.5,Local
Cypress,2024-2025,15,at,Golden West,W,2-1,2,1,October,10,77,0,0.5,Visitante
Cypress,2024-2025,18,vs,Santiago Canyon,W,7-0,7,0,October,10,77,1,0.5,Local
Cypress,2024-2025,22,vs,Santa Ana,T,0-0,0,0,October,10,77,1,0.5,Local
